tconst	averageRating
tt0005600	5.6
tt0005604	5.4
tt0005613	6.2
tt0005615	6.8
tt0005621	7.1
tt0005644	7.0
tt0005667	1.0
tt0005680	6.1
tt0005682	5.5
tt0005683	6.1
tt0005700	5.9
tt0005719	5.7
tt0005733	6.2
tt0005739	6.7
tt0005746	5.0
tt0005756	7.6
tt0005772	5.9
tt0005802	1.7
tt0005808	5.2
tt0005809	6.1
tt0005811	5.9
tt0005823	6.8
tt0005831	6.8
tt0005832	5.8
tt0005869	4.8
tt0005871	7.0
tt0005879	7.3
tt0005901	5.1
tt0005905	6.8
tt0005916	7.0
tt0005928	5.2
tt0005930	5.3
tt0005931	6.8
tt0005939	5.1
tt0005945	8.0
tt0005951	6.9
tt0005955	5.5
tt0005960	6.9
tt0005974	6.9
tt0005984	6.9
tt0005987	6.8
tt0005994	7.4
tt0005997	5.6
tt0006007	7.0
tt0006008	6.4
tt0006041	6.5
tt0006063	4.2
tt0006101	7.5
tt0006102	5.4
tt0006140	5.8
tt0006144	2.5
tt0006160	8.5
tt0006182	6.1
tt0006201	2.4
tt0006202	5.0
tt0006204	6.1
tt0006206	7.3
tt0006210	5.9
tt0006213	3.0
tt0006238	7.0
tt0006241	7.2
tt0006243	5.3
tt0006276	7.1
tt0006279	1.0
tt0006280	1.1
tt0006283	6.8
tt0006291	7.8
tt0006299	7.3
tt0006318	5.3
tt0006327	6.0
tt0006331	5.9
tt0006333	6.2
tt0006339	4.7
tt0006343	5.2
tt0006350	5.2
tt0006357	6.3
tt0006358	7.0
tt0006359	6.1
tt0006373	6.5
tt0006375	7.2
tt0006385	6.7
tt0006386	6.5
tt0006397	5.7
tt0006405	6.8
tt0006409	7.9
tt0006413	5.6
tt0006419	4.8
tt0006426	5.2
tt0006436	5.8
tt0006437	6.1
tt0006456	7.0
tt0006481	6.2
tt0006482	6.6
tt0006489	5.4
tt0006505	7.0
tt0006508	7.2
tt0006509	4.6
tt0006511	6.0
tt0006517	6.0
tt0006547	7.9
tt0006564	5.6
tt0006568	7.1
tt0006570	5.9
tt0006580	5.0
tt0006588	6.2
tt0006589	6.8
tt0006592	6.0
tt0006600	4.4
tt0006614	6.5
tt0006617	6.1
tt0006621	5.9
tt0006623	5.2
tt0006631	6.2
tt0006637	6.6
tt0006641	4.0
tt0006645	5.1
tt0006653	6.6
tt0006664	5.0
tt0006666	6.5
tt0006673	4.4
tt0006679	4.9
tt0006688	6.3
tt0006692	4.8
tt0006699	5.7
tt0006703	5.9
tt0006706	6.0
tt0006713	6.1
tt0006726	6.3
tt0006731	5.3
tt0006736	6.6
tt0006745	5.8
tt0006751	6.2
tt0006753	6.6
tt0006761	6.2
tt0006766	6.6
tt0006770	6.4
tt0006773	6.1
tt0006780	6.8
tt0006809	6.0
tt0006819	6.4
tt0006820	6.1
tt0006826	5.6
tt0006829	4.7
tt0006831	5.9
tt0006836	2.1
tt0006847	6.1
tt0006859	7.3
tt0006861	6.2
tt0006863	6.0
tt0006864	7.8
tt0006867	6.3
tt0006874	7.0
tt0006886	7.4
tt0006893	4.3
tt0006895	5.7
tt0006914	6.0
tt0006917	3.7
tt0006932	6.8
tt0006942	7.0
tt0006943	5.9
tt0006995	6.3
tt0006997	6.3
tt0007005	5.6
tt0007009	4.2
tt0007012	5.2
tt0007031	6.5
tt0007034	7.8
tt0007038	6.8
tt0007042	4.2
tt0007047	6.0
tt0007061	4.6
tt0007070	4.8
tt0007100	7.0
tt0007107	6.1
tt0007110	6.8
tt0007111	5.8
tt0007116	6.2
tt0007117	5.1
tt0007118	7.0
tt0007120	7.0
tt0007142	6.6
tt0007146	6.0
tt0007160	7.4
tt0007167	5.0
tt0007183	7.0
tt0007184	5.6
tt0007188	6.0
tt0007201	6.5
tt0007202	6.4
tt0007220	6.0
tt0007240	6.5
tt0007246	3.7
tt0007248	6.7
tt0007255	4.8
tt0007257	4.8
tt0007260	6.6
tt0007263	6.3
tt0007272	6.6
tt0007278	6.3
tt0007279	5.3
tt0007297	6.7
tt0007309	5.6
tt0007313	5.7
tt0007317	5.3
tt0007338	6.5
tt0007340	6.6
tt0007353	5.8
tt0007361	6.3
tt0007367	5.3
tt0007368	6.5
tt0007375	2.8
tt0007407	6.1
tt0007410	5.0
tt0007422	6.1
tt0007453	7.0
tt0007454	5.8
tt0007459	6.6
tt0007462	6.7
tt0007464	5.6
